NOM,NUMERO,SHAPE_LEN
Montchoisy,"2121080",1074.26516903000
Jargonnant,"2121090",1276.12868154000
Frontenex,"2121030",1729.66308715000
La Grande-Boissière,"2122040",1536.89232048000
La Petite-Boissière,"2122050",1561.88724062000
La Florence,"2122060",2079.62530988000
Eugène-PITTARD,"2122070",1058.00485838000
Plateau-de-Champel,"2111051",1264.91935864000
KRIEG,"2122090",1400.94914974000
Sur-la-Ville,"1400020",7847.69951827000
Jussy - village,"2600030",4663.27121111000
Compois,"2900050",6577.45795720000
Plateau de Bel-Air,"1300040",2838.67923966000
Les Vollandes,"2121050",1843.24627161000
Belmont,"2122030",1692.09696540000
Tulipiers,"2121042",1101.92165006000
Les Allières,"2121041",1649.95689914000
Eaux-Vives - Jeu-de-l'Arc,"2121071",736.70181868400
Eaux-Vives - Vollandes,"2121072",1184.10230676000
Pierres-du-Niton,"2121011",1037.65957943000
Valais,"2131040",1602.05481779000
Sécheron,"2131010",1591.05779085000
Saint-Jean - Falaises,"2136021",1620.45127272000
La Dôle,"2135070",2066.16964231000
Plaine de Plainpalais,"2113040",1451.23053758000
Lullier,"2600040",4811.66610918000
Veyrier - Marais,"4500060",4446.60370338000
La Louvière,"3500050",4021.89485089000
La Roseraie,"2111010",1281.48897064000
Conches - La Petite-Paumière,"1200021",2434.25230265000
Tour-de-Champel,"2111092",1738.19255660000
Beau-Séjour,"2111091",1279.90762091000
Tournettes,"4500051",1588.06281977000
Les Crêts-de-Champel 2,"2111112",960.35829591600
Conseil-Général,"2101052",1473.54088732000
Champ-Dollon,"3600012",4192.83432054000
Miremont,"2111052",1621.60701899000
Mont-Blanc,"2104031",2255.90666968000
WILSON,"2104032",1638.60752251000
La Combe,"1600080",4559.83191538000
Glacis-de-Rive,"2101032",1169.66009652000
Pregny - parc,"3400032",3211.36765667000
Loëx,"0700040",7249.81838082000
Charrot,"0500060",3959.67881370000
Certoux,"3200010",2420.32253941000
La Léchaire,"0700100",4153.81824927000
Vallon,"1200110",2393.17454790000
Les Grands-Champs,"0600030",4042.23371562000
L'Ermitage,"0600050",3709.65281104000
Entre-Deux-Vignobles,"3900030",8244.48108995000
